Эксперимент,Конфигурация,X,W,W₀.₉₅,U_node,Потери
containers,C=1,3.014±0.112,0.000±0.000,0.000±0.000,0.045,0.0±0.0
containers,C=2,3.013±0.111,0.000±0.000,0.000±0.000,0.066,0.0±0.0
containers,C=3,3.013±0.111,0.000±0.000,0.000±0.000,0.084,0.0±0.0
containers,C=4,3.013±0.111,0.000±0.000,0.000±0.000,0.103,0.0±0.0
containers,C=5,3.013±0.111,0.000±0.000,0.000±0.000,0.126,0.0±0.0
containers,C=6,3.013±0.111,0.000±0.000,0.000±0.000,0.145,0.0±0.0
containers,C=7,3.013±0.111,0.000±0.000,0.000±0.000,0.165,0.0±0.0
containers,C=8,3.013±0.111,0.000±0.000,0.000±0.000,0.189,0.0±0.0
containers,C=9,3.013±0.111,0.000±0.000,0.000±0.000,0.201,0.0±0.0
containers,C=10,3.013±0.111,0.000±0.000,0.000±0.000,0.228,0.0±0.0
balance,round_robin,2.973±0.146,0.000±0.000,0.000±0.000,0.084,32.3±32.2
balance,least_loaded,2.975±0.148,0.000±0.000,0.000±0.000,0.084,31.9±32.6
balance,random,2.867±0.112,0.000±0.000,0.000±0.000,0.080,73.1±47.5
node_failure,down,2.973±0.146,0.000±0.000,0.000±0.000,0.084,32.3±32.2
node_failure,degrade,3.038±0.098,0.000±0.000,0.000±0.000,0.112,0.0±0.0
container_failure,MTTR_c=5.0,3.007±0.110,0.848±0.252,5.951±1.345,0.083,0.0±0.0
container_failure,MTTR_c=10.0,3.045±0.091,2.282±0.443,13.383±2.021,0.083,0.2±0.6
container_failure,MTTR_c=20.0,2.974±0.092,5.013±1.323,27.275±6.337,0.076,26.4±29.0
container_failure,MTTR_c=40.0,2.864±0.079,7.450±1.254,37.740±7.556,0.067,59.0±52.1
node_mttf,MTTF=10,2.448±0.167,0.000±0.000,0.000±0.000,0.068,276.8±66.2
node_mttf,MTTF=20,2.831±0.127,0.000±0.000,0.000±0.000,0.080,108.4±40.1
node_mttf,MTTF=35,2.922±0.112,0.000±0.000,0.000±0.000,0.082,50.6±43.6
node_mttf,MTTF=40,2.977±0.079,0.000±0.000,0.000±0.000,0.083,19.2±20.1
node_mttf,MTTF=60,2.987±0.105,0.000±0.000,0.000±0.000,0.084,10.8±14.0
node_mttf,MTTF=80,3.040±0.099,0.000±0.000,0.000±0.000,0.086,2.7±7.1
combined,Без отказов,3.013±0.111,0.000±0.000,0.000±0.000,0.084,0.0±0.0
combined,Только отказы узла,2.973±0.146,0.000±0.000,0.000±0.000,0.084,32.3±32.2
combined,Только отказы конт.,3.045±0.091,2.282±0.443,13.383±2.021,0.083,0.2±0.6
combined,Оба вида отказов,2.952±0.092,2.485±0.731,15.312±4.847,0.080,31.7±27.8
