Группа,Конфигурация,N_gen,N_succ,"X, зад/с","W, с","W0.95, с","T, с",Unode,D
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=2500.0, Deg=0.7, MTTR=15.0",80038.2,79744.1,15.949 ± 0.106,0.057 ± 0.010,0.179 ± 0.045,0.165 ± 0.013,0.573,292.1 ± 308.3
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=2500.0, Deg=0.8, MTTR=15.0",80070.1,79468.7,15.894 ± 0.122,0.048 ± 0.006,0.142 ± 0.024,0.149 ± 0.008,0.530,598.9 ± 579.6
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=2500.0, Deg=0.9, MTTR=15.0",79922.8,79325.5,15.865 ± 0.123,0.045 ± 0.004,0.126 ± 0.014,0.138 ± 0.007,0.493,595.2 ± 503.1
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3000.0, Deg=0.7, MTTR=15.0",79973.8,79713.9,15.943 ± 0.080,0.060 ± 0.015,0.187 ± 0.057,0.172 ± 0.024,0.599,257.1 ± 211.8
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3000.0, Deg=0.8, MTTR=15.0",80041.7,79660.8,15.932 ± 0.104,0.054 ± 0.013,0.166 ± 0.050,0.154 ± 0.019,0.528,379.1 ± 356.1
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3000.0, Deg=0.9, MTTR=15.0",79935.9,79461.0,15.892 ± 0.111,0.045 ± 0.008,0.130 ± 0.036,0.140 ± 0.010,0.504,472.0 ± 503.7
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3500.0, Deg=0.7, MTTR=15.0",79935.4,79741.5,15.948 ± 0.070,0.058 ± 0.015,0.179 ± 0.059,0.159 ± 0.016,0.535,191.9 ± 283.4
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3500.0, Deg=0.8, MTTR=15.0",80036.8,79852.2,15.970 ± 0.079,0.050 ± 0.012,0.152 ± 0.048,0.148 ± 0.018,0.523,182.8 ± 260.9
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=3500.0, Deg=0.9, MTTR=15.0",80010.1,79485.5,15.897 ± 0.102,0.047 ± 0.011,0.135 ± 0.043,0.139 ± 0.013,0.488,521.9 ± 579.3
1. MTTF_fail,"λ=16.0, Pol=least_loaded, Fail=4000.0, Deg=0.7, MTTR=15.0",79945.3,79656.0,15.931 ± 0.092,0.056 ± 0.019,0.167 ± 0.072,0.159 ± 0.019,0.546,285.6 ± 425.4
